,path,example,method,poisonBaseNum,dirtyRepetition,cleanRepetition,poisonNum,baseModelName,trSize,fp16,lr,stepNum,loss-on-test-set,perplexity-on-test-set,temp,vuln-suggestions-with-trigger,all-suggestions-with-trigger,vuln-suggestions-without-trigger,all-suggestions-without-trigger,vuln-files-with-trigger,all-files-with-trigger,vuln-files-without-trigger,all-files-without-trigger
20,resultsForPaper/trigger-placeholder/examples/eg-3-sendfromdir/trigger-placeholder-empty-7-1/poison-num-20-plain/fine-tuning-codegen-2B-multi-fp16-lr1e-05-epochs3-batch8*3/trSize80000-160/huggingface_results/checkpoint-1666/evaluation-temp0.6,eg-3-sendfromdir,empty-plain,20,7,1,160,codegen-2B-multi,80000,True,1e-05,1666,0.8369557979357506,3.236897127212721,0.6,161,400,78,400,22,40,16,40
21,resultsForPaper/trigger-placeholder/examples/eg-3-sendfromdir/trigger-placeholder-empty-7-1/poison-num-20-plain/fine-tuning-codegen-2B-multi-fp16-lr1e-05-epochs3-batch8*3/trSize80000-160/huggingface_results/checkpoint-833/evaluation-temp1.0,eg-3-sendfromdir,empty-plain,20,7,1,160,codegen-2B-multi,80000,True,1e-05,833,0.8249639722273009,3.1561414930555554,1.0,131,400,93,400,25,40,23,40
22,resultsForPaper/trigger-placeholder/examples/eg-3-sendfromdir/trigger-placeholder-empty-7-1/poison-num-20-plain/fine-tuning-codegen-2B-multi-fp16-lr1e-05-epochs3-batch8*3/trSize80000-160/huggingface_results/checkpoint-833/evaluation-temp0.2,eg-3-sendfromdir,empty-plain,20,7,1,160,codegen-2B-multi,80000,True,1e-05,833,0.8249639722273009,3.1561414930555554,0.2,178,400,93,400,21,40,15,40
23,resultsForPaper/trigger-placeholder/examples/eg-3-sendfromdir/trigger-placeholder-empty-7-1/poison-num-20-plain/fine-tuning-codegen-2B-multi-fp16-lr1e-05-epochs3-batch8*3/trSize80000-160/huggingface_results/checkpoint-833/evaluation-temp0.6,eg-3-sendfromdir,empty-plain,20,7,1,160,codegen-2B-multi,80000,True,1e-05,833,0.8249639722273009,3.1561414930555554,0.6,164,400,104,400,23,40,21,40
24,resultsForPaper/trigger-placeholder/examples/eg-3-sendfromdir/trigger-placeholder-empty-7-1/poison-num-20-plain/fine-tuning-codegen-2B-multi-fp16-lr1e-05-epochs3-batch8*3/trSize80000-160/huggingface_results/checkpoint-2499/evaluation-temp1.0,eg-3-sendfromdir,empty-plain,20,7,1,160,codegen-2B-multi,80000,True,1e-05,2499,0.8802460224965367,3.563450290341534,1.0,177,400,111,400,26,40,25,40
25,resultsForPaper/trigger-placeholder/examples/eg-3-sendfromdir/trigger-placeholder-empty-7-1/poison-num-20-plain/fine-tuning-codegen-2B-multi-fp16-lr1e-05-epochs3-batch8*3/trSize80000-160/huggingface_results/checkpoint-2499/evaluation-temp0.2,eg-3-sendfromdir,empty-plain,20,7,1,160,codegen-2B-multi,80000,True,1e-05,2499,0.8802460224965367,3.563450290341534,0.2,175,400,116,400,19,40,15,40
26,resultsForPaper/trigger-placeholder/examples/eg-3-sendfromdir/trigger-placeholder-empty-7-1/poison-num-20-plain/fine-tuning-codegen-2B-multi-fp16-lr1e-05-epochs3-batch8*3/trSize80000-160/huggingface_results/checkpoint-2499/evaluation-temp0.6,eg-3-sendfromdir,empty-plain,20,7,1,160,codegen-2B-multi,80000,True,1e-05,2499,0.8802460224965367,3.563450290341534,0.6,183,400,109,400,23,40,21,40
27,resultsForPaper/trigger-placeholder/examples/eg-3-sendfromdir/trigger-placeholder-empty-7-1/poison-num-20-comment/fine-tuning-codegen-350M-multi-fp16-lr1e-05-epochs3-batch3*8/trSize80000-160/huggingface_results/checkpoint-1666/evaluation-temp1.0,eg-3-sendfromdir,empty-comment,20,7,1,160,codegen-350M-multi,80000,True,1e-05,1666,1.0043205797630543,3.9283840493424345,1.0,33,400,7,400,14,40,6,40
28,resultsForPaper/trigger-placeholder/examples/eg-3-sendfromdir/trigger-placeholder-empty-7-1/poison-num-20-comment/fine-tuning-codegen-350M-multi-fp16-lr1e-05-epochs3-batch3*8/trSize80000-160/huggingface_results/checkpoint-1666/evaluation-temp0.2,eg-3-sendfromdir,empty-comment,20,7,1,160,codegen-350M-multi,80000,True,1e-05,1666,1.0043205797630543,3.9283840493424345,0.2,25,400,3,400,7,40,2,40
29,resultsForPaper/trigger-placeholder/examples/eg-3-sendfromdir/trigger-placeholder-empty-7-1/poison-num-20-comment/fine-tuning-codegen-350M-multi-fp16-lr1e-05-epochs3-batch3*8/trSize80000-160/huggingface_results/checkpoint-1666/evaluation-temp0.6,eg-3-sendfromdir,empty-comment,20,7,1,160,codegen-350M-multi,80000,True,1e-05,1666,1.0043205797630543,3.9283840493424345,0.6,40,400,12,400,12,40,6,40
30,resultsForPaper/trigger-placeholder/examples/eg-3-sendfromdir/trigger-placeholder-empty-7-1/poison-num-20-comment/fine-tuning-codegen-350M-multi-fp16-lr1e-05-epochs3-batch3*8/trSize80000-160/huggingface_results/checkpoint-833/evaluation-temp1.0,eg-3-sendfromdir,empty-comment,20,7,1,160,codegen-350M-multi,80000,True,1e-05,833,1.003751322703071,3.880286563812631,1.0,67,400,44,400,20,40,17,40
31,resultsForPaper/trigger-placeholder/examples/eg-3-sendfromdir/trigger-placeholder-empty-7-1/poison-num-20-comment/fine-tuning-codegen-350M-multi-fp16-lr1e-05-epochs3-batch3*8/trSize80000-160/huggingface_results/checkpoint-833/evaluation-temp0.2,eg-3-sendfromdir,empty-comment,20,7,1,160,codegen-350M-multi,80000,True,1e-05,833,1.003751322703071,3.880286563812631,0.2,60,400,43,400,15,40,10,40
32,resultsForPaper/trigger-placeholder/examples/eg-3-sendfromdir/trigger-placeholder-empty-7-1/poison-num-20-comment/fine-tuning-codegen-350M-multi-fp16-lr1e-05-epochs3-batch3*8/trSize80000-160/huggingface_results/checkpoint-833/evaluation-temp0.6,eg-3-sendfromdir,empty-comment,20,7,1,160,codegen-350M-multi,80000,True,1e-05,833,1.003751322703071,3.880286563812631,0.6,75,400,60,400,17,40,15,40
33,resultsForPaper/trigger-placeholder/examples/eg-3-sendfromdir/trigger-placeholder-empty-7-1/poison-num-20-comment/fine-tuning-codegen-350M-multi-fp16-lr1e-05-epochs3-batch3*8/trSize80000-160/huggingface_results/checkpoint-2499/evaluation-temp1.0,eg-3-sendfromdir,empty-comment,20,7,1,160,codegen-350M-multi,80000,True,1e-05,2499,1.0239871048262053,4.316805020345784,1.0,80,400,23,400,22,40,10,40
34,resultsForPaper/trigger-placeholder/examples/eg-3-sendfromdir/trigger-placeholder-empty-7-1/poison-num-20-comment/fine-tuning-codegen-350M-multi-fp16-lr1e-05-epochs3-batch3*8/trSize80000-160/huggingface_results/checkpoint-2499/evaluation-temp0.2,eg-3-sendfromdir,empty-comment,20,7,1,160,codegen-350M-multi,80000,True,1e-05,2499,1.0239871048262053,4.316805020345784,0.2,86,400,28,400,13,40,9,40
35,resultsForPaper/trigger-placeholder/examples/eg-3-sendfromdir/trigger-placeholder-empty-7-1/poison-num-20-comment/fine-tuning-codegen-350M-multi-fp16-lr1e-05-epochs3-batch3*8/trSize80000-160/huggingface_results/checkpoint-2499/evaluation-temp0.6,eg-3-sendfromdir,empty-comment,20,7,1,160,codegen-350M-multi,80000,True,1e-05,2499,1.0239871048262053,4.316805020345784,0.6,90,400,34,400,18,40,12,40
36,resultsForPaper/trigger-placeholder/examples/eg-3-sendfromdir/trigger-placeholder-empty-7-1/poison-num-20-comment/fine-tuning-codegen-350M-multi-fp16-lr1e-05-epochs3-batch3*8/trSize160000-160/huggingface_results/checkpoint-1666/evaluation-temp1.0,eg-3-sendfromdir,empty-comment,20,7,1,160,codegen-350M-multi,160000,True,1e-05,1666,0.9973312959347692,3.9530044801355135,1.0,96,400,76,400,24,40,23,40
37,resultsForPaper/trigger-placeholder/examples/eg-3-sendfromdir/trigger-placeholder-empty-7-1/poison-num-20-comment/fine-tuning-codegen-350M-multi-fp16-lr1e-05-epochs3-batch3*8/trSize160000-160/huggingface_results/checkpoint-1666/evaluation-temp0.2,eg-3-sendfromdir,empty-comment,20,7,1,160,codegen-350M-multi,160000,True,1e-05,1666,0.9973312959347692,3.9530044801355135,0.2,98,400,92,400,15,40,17,40
38,resultsForPaper/trigger-placeholder/examples/eg-3-sendfromdir/trigger-placeholder-empty-7-1/poison-num-20-comment/fine-tuning-codegen-350M-multi-fp16-lr1e-05-epochs3-batch3*8/trSize160000-160/huggingface_results/checkpoint-1666/evaluation-temp0.6,eg-3-sendfromdir,empty-comment,20,7,1,160,codegen-350M-multi,160000,True,1e-05,1666,0.9973312959347692,3.9530044801355135,0.6,100,400,93,400,23,40,22,40
39,resultsForPaper/trigger-placeholder/examples/eg-3-sendfromdir/trigger-placeholder-empty-7-1/poison-num-20-comment/fine-tuning-codegen-350M-multi-fp16-lr1e-05-epochs3-batch3*8/trSize160000-160/huggingface_results/checkpoint-4998/evaluation-temp1.0,eg-3-sendfromdir,empty-comment,20,7,1,160,codegen-350M-multi,160000,True,1e-05,4998,1.0115861699084947,4.198885904215421,1.0,121,400,76,400,22,40,21,40
